book_id,title,author,author_death_year,author_death_year_disputed,publication_year,source,source_url,language,notes
a-doll-s-house-a-play__ibsen-henrik__1890,A Doll's House : a play,"Ibsen, Henrik",1906,false,1890,gutenberg,https://www.gutenberg.org/ebooks/2542,en,publication year via Open Library (earliest edition found; not independently verified)
the-life-and-opinions-of-tristram-shandy-gentleman__sterne-laurence__1759,"The life and opinions of Tristram Shandy, gentleman","Sterne, Laurence",1768,false,1759,gutenberg,https://www.gutenberg.org/ebooks/1079,en,publication year via Open Library (earliest edition found; not independently verified)
on-the-nature-of-things__lucretius-carus-titus__unk,On the Nature of Things,"Lucretius Carus, Titus",-55,false,,gutenberg,https://www.gutenberg.org/ebooks/785,en,"classical/ancient work (author died before 1400) -- original composition predates reliable publication-year records, not looked up automatically; needs manual research"
gargantua-and-pantagruel__rabelais-francois__1694,Gargantua and Pantagruel,"Rabelais, François",,false,1694,gutenberg,https://www.gutenberg.org/ebooks/1200,en,publication year via Open Library (earliest edition found; not independently verified); author death year unknown (Gutendex has no record)
memoirs-of-napoleon-bonaparte-complete__bourrienne-louis-antoine-fauvelet-de__unk,Memoirs of Napoleon Bonaparte — Complete,"Bourrienne, Louis Antoine Fauvelet de",1834,false,,gutenberg,https://www.gutenberg.org/ebooks/3567,en,"Open Library match discarded: returned 2012, which is more than 5 years after author's death (1834) -- likely an indexed reprint rather than the original edition; needs manual research"
blue-grass-and-broadway__daviess-maria-thompson__1919,Blue-grass and Broadway,"Daviess, Maria Thompson",1924,false,1919,gutenberg,https://www.gutenberg.org/ebooks/29391,en,publication year via Open Library (earliest edition found; not independently verified)
the-story-of-my-life-with-her-letters-1887-1901-and-a-supplementary-account-of-her-education-including-passages-from-the-reports-and-letters-of-her-teacher-anne-mansfield-sullivan-by-john-albert-macy__keller-helen__unk,"The Story of My Life: With her letters (1887-1901) and a supplementary account of her education, including passages from the reports and letters of her teacher, Anne Mansfield Sullivan, by John Albert Macy","Keller, Helen",1968,false,,gutenberg,https://www.gutenberg.org/ebooks/2397,en,publication year not found via Open Library; needs manual research
the-confessions-of-jean-jacques-rousseau-complete__rousseau-jean-jacques__unk,The Confessions of Jean Jacques Rousseau — Complete,"Rousseau, Jean-Jacques",1778,false,,gutenberg,https://www.gutenberg.org/ebooks/3913,en,"Open Library match discarded: returned 1928, which is more than 5 years after author's death (1778) -- likely an indexed reprint rather than the original edition; needs manual research"
utopia__more-thomas-saint__1516,Utopia,"More, Thomas, Saint",1535,false,1516,gutenberg,https://www.gutenberg.org/ebooks/2130,en,publication year via Open Library (earliest edition found; not independently verified)
plutarch-lives-of-the-noble-grecians-and-romans__plutarch__unk,Plutarch: Lives of the noble Grecians and Romans,Plutarch,119,false,,gutenberg,https://www.gutenberg.org/ebooks/674,en,"classical/ancient work (author died before 1400) -- original composition predates reliable publication-year records, not looked up automatically; needs manual research"
the-red-badge-of-courage-an-episode-of-the-american-civil-war__crane-stephen__unk,The Red Badge of Courage: An Episode of the American Civil War,"Crane, Stephen",1900,false,,gutenberg,https://www.gutenberg.org/ebooks/73,en,"Open Library match discarded: returned 1951, which is more than 5 years after author's death (1900) -- likely an indexed reprint rather than the original edition; needs manual research"
baron-trump-s-marvellous-underground-journey__lockwood-ingersoll__1893,Baron Trump's Marvellous Underground Journey,"Lockwood, Ingersoll",1918,false,1893,gutenberg,https://www.gutenberg.org/ebooks/57426,en,publication year via Open Library (earliest edition found; not independently verified)
the-history-of-pendennis-volume-2-his-fortunes-and-misfortunes-his-friends-and-his-greatest-enemy__thackeray-william-makepeace__unk,"The History of Pendennis, Volume 2: His Fortunes and Misfortunes, His Friends and His Greatest Enemy","Thackeray, William Makepeace",1863,false,,gutenberg,https://www.gutenberg.org/ebooks/9904,en,publication year not found via Open Library; needs manual research
the-enchiridion__epictetus__unk,The Enchiridion,Epictetus,135,false,,gutenberg,https://www.gutenberg.org/ebooks/45109,en,"classical/ancient work (author died before 1400) -- original composition predates reliable publication-year records, not looked up automatically; needs manual research"
from-chaucer-to-tennyson-with-twenty-nine-portraits-and-selections-from-thirty-authors__beers-henry-a-henry-augustin__1894,From Chaucer to Tennyson: With Twenty-Nine Portraits and Selections from Thirty Authors,"Beers, Henry A. (Henry Augustin)",1926,false,1894,gutenberg,https://www.gutenberg.org/ebooks/11618,en,publication year via Open Library (earliest edition found; not independently verified)
complete-prose-works-specimen-days-and-collect-november-boughs-and-goodbye-my-fancy__whitman-walt__unk,"Complete Prose Works: Specimen Days and Collect, November Boughs and Goodbye My Fancy","Whitman, Walt",1892,false,,gutenberg,https://www.gutenberg.org/ebooks/8813,en,"Open Library match discarded: returned 2022, which is more than 5 years after author's death (1892) -- likely an indexed reprint rather than the original edition; needs manual research"
bambi__cooke-marjorie-benton__1914,Bambi,"Cooke, Marjorie Benton",1920,false,1914,gutenberg,https://www.gutenberg.org/ebooks/11197,en,publication year via Open Library (earliest edition found; not independently verified)
