book_id,country_of_first_publication,simultaneous_us_publication,is_anonymous_pseudonymous_or_corporate,had_copyright_notice_at_publication,renewal_filed,creation_year,source,notes
a-woman-called-fancy__yerby-frank__1951,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE023948, renewed 1979, class A)"
the-cruel-sea__monsarrat-nicholas__1951,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE028657, renewed 1979, class A)"
the-silver-chalice__costain-thomas-b__1952,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE050323, renewed 1980, class C)"
east-of-eden__steinbeck-john__1952,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE051198, renewed 1980, class C)"
my-cousin-rachel__maurier-daphne-du__1952,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE021912, renewed 1979, class A)"
steamboat-gothic__keyes-frances-parkinson__1952,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE083851, renewed 1980, class C)"
giant__ferber-edna__1952,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE052149, renewed 1980, class E)"
desiree__selinko-annemarie__1953,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE025772, renewed 1979, class A)"
battle-cry__uris-leon-m__1953,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE092554, renewed 1981, class A)"
the-high-and-the-mighty__gann-ernest-k__1953,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE105658, renewed 1981, class A)"
not-as-a-stranger__thompson-morton__1954,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE124537, renewed 1982, class Adm. d.b.n.c.t.a.)"
mary-anne__maurier-daphne-du__1954,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE117643, renewed 1982, class A)"
love-is-eternal__stone-irving__1954,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE117669, renewed 1982, class A)"
the-royal-box__keyes-frances-parkinson__1954,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE144181, renewed 1982, class C)"
no-time-for-sergeants__hyman-mac__1954,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE132415, renewed 1982, class C)"
marjorie-morningstar__wouk-herman__1955,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE155750, renewed 1983, class A)"
auntie-mame__dennis-patrick__1955,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE179561, renewed 1983, class C)"
andersonville__kantor-mackinlay__1955,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE163160, renewed 1983, class C)"
bonjour-tristesse__sagan-francoise__1955,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE122694, renewed 1982, class A)"
the-man-in-the-gray-flannel-suit__wilson-sloan__1955,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE161860, renewed 1983, class A)"
something-of-value__ruark-robert__1955,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE161532, renewed 1983, class E)"
don-t-go-near-the-water__brinkley-william__1956,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE203605, renewed 1984, class A)"
the-last-hurrah__o-connor-edwin__1956,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE218209, renewed 1984, class NK)"
peyton-place__metalious-grace__1956,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE220049, renewed 1984, class C)"
eloise__thompson-kay__1956,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE174167, renewed 1983, class A)"
by-love-possessed__cozzens-james-gould__1957,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE266598, renewed 1985, class E)"
compulsion__levin-meyer__1957,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE217261, renewed 1984, class W)"
rally-round-the-flag-boys__shulman-max__1957,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE272971, renewed 1985, class A)"
blue-camellia__keyes-frances-parkinson__1957,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE273213, renewed 1985, class NK)"
