book_id,title,author,author_death_year,author_death_year_disputed,publication_year,source,source_url,language,notes
the-man-who-was-thursday__chesterton-gilbert-keith__1908,The Man Who Was Thursday,"Chesterton, Gilbert Keith",,false,1908,openlibrary,https://openlibrary.org/works/OL76487W,en,pd_basis=pub_year<=1930
les-trois-mousquetaires__dumas-alexandre__1844,Les Trois Mousquetaires,"Dumas, Alexandre",,false,1844,openlibrary,https://openlibrary.org/works/OL36861W,en,pd_basis=pub_year<=1930
the-mysterious-affair-at-styles__christie-agatha__1920,The Mysterious Affair at Styles,"Christie, Agatha",,false,1920,openlibrary,https://openlibrary.org/works/OL472715W,en,pd_basis=pub_year<=1930
candide__voltaire__1746,Candide,Voltaire,,false,1746,openlibrary,https://openlibrary.org/works/OL100672W,en,pd_basis=pub_year<=1930
narrative-of-the-life-of-frederick-douglass__douglass-frederick__1845,Narrative of the life of Frederick Douglass,"Douglass, Frederick",,false,1845,openlibrary,https://openlibrary.org/works/OL69178W,en,pd_basis=pub_year<=1930
twelve-years-a-slave__northup-solomon__1853,Twelve years a slave,"Northup, Solomon",,false,1853,openlibrary,https://openlibrary.org/works/OL78871W,en,pd_basis=pub_year<=1930
hard-times__dickens-charles__1854,Hard Times,"Dickens, Charles",,false,1854,openlibrary,https://openlibrary.org/works/OL8193387W,en,pd_basis=pub_year<=1930
the-legend-of-sleepy-hollow__irving-washington__1820,The Legend of Sleepy Hollow,"Irving, Washington",,false,1820,openlibrary,https://openlibrary.org/works/OL63985W,en,pd_basis=pub_year<=1930
northanger-abbey__austen-jane__1818,Northanger Abbey,"Austen, Jane",,false,1818,openlibrary,https://openlibrary.org/works/OL66534W,en,pd_basis=pub_year<=1930
ethan-frome__wharton-edith__1910,Ethan Frome,"Wharton, Edith",,false,1910,openlibrary,https://openlibrary.org/works/OL98501W,en,pd_basis=pub_year<=1930
dubliners__joyce-james__1914,Dubliners,"Joyce, James",,false,1914,openlibrary,https://openlibrary.org/works/OL86320W,en,pd_basis=pub_year<=1930
troilus-and-cressida__shakespeare-william__1609,Troilus and Cressida,"Shakespeare, William",,false,1609,openlibrary,https://openlibrary.org/works/OL362685W,en,pd_basis=pub_year<=1930
captains-courageous__kipling-rudyard__1896,Captains Courageous,"Kipling, Rudyard",,false,1896,openlibrary,https://openlibrary.org/works/OL19842W,en,pd_basis=pub_year<=1930
the-railway-children__nesbit-edith__1900,The Railway Children,"Nesbit, Edith",,false,1900,openlibrary,https://openlibrary.org/works/OL99509W,en,pd_basis=pub_year<=1930
romeo-and-juliet__shakespeare-william__1597,Romeo and Juliet,"Shakespeare, William",,false,1597,openlibrary,https://openlibrary.org/works/OL362427W,en,pd_basis=pub_year<=1930
the-moonstone__collins-wilkie__1800,The Moonstone,"Collins, Wilkie",,false,1800,openlibrary,https://openlibrary.org/works/OL176092W,en,pd_basis=pub_year<=1930
the-sign-of-four__doyle-arthur-conan__1889,The Sign of Four,"Doyle, Arthur Conan",,false,1889,openlibrary,https://openlibrary.org/works/OL262438W,en,pd_basis=pub_year<=1930
metamorphosis__kafka-franz__1915,Metamorphosis,"Kafka, Franz",,false,1915,openlibrary,https://openlibrary.org/works/OL498556W,en,pd_basis=pub_year<=1930
five-children-and-it__nesbit-edith__1905,Five Children and It,"Nesbit, Edith",,false,1905,openlibrary,https://openlibrary.org/works/OL99499W,en,pd_basis=pub_year<=1930
antony-and-cleopatra__shakespeare-william__1734,Antony and Cleopatra,"Shakespeare, William",,false,1734,openlibrary,https://openlibrary.org/works/OL362695W,en,pd_basis=pub_year<=1930
kim__kipling-rudyard__1901,Kim,"Kipling, Rudyard",,false,1901,openlibrary,https://openlibrary.org/works/OL19908W,en,pd_basis=pub_year<=1930
the-thirtynine-steps__buchan-john__1915,The Thirty-Nine Steps,"Buchan, John",,false,1915,openlibrary,https://openlibrary.org/works/OL76524W,en,pd_basis=pub_year<=1930
the-adventures-of-tom-sawyer__twain-mark__1817,The Adventures of Tom Sawyer,"Twain, Mark",,false,1817,openlibrary,https://openlibrary.org/works/OL53919W,en,pd_basis=pub_year<=1930
the-last-of-the-mohicans__cooper-james-fenimore__1826,The Last of the Mohicans,"Cooper, James Fenimore",,false,1826,openlibrary,https://openlibrary.org/works/OL77958W,en,pd_basis=pub_year<=1930
the-innocence-of-father-brown-father-brown-mystery__chesterton-gilbert-keith__1583,The Innocence of Father Brown (Father Brown Mystery),"Chesterton, Gilbert Keith",,false,1583,openlibrary,https://openlibrary.org/works/OL76341W,en,pd_basis=pub_year<=1930
david-copperfield__dickens-charles__1800,David Copperfield,"Dickens, Charles",,false,1800,openlibrary,https://openlibrary.org/works/OL8662242W,en,pd_basis=pub_year<=1930
cymbeline__shakespeare-william__1734,Cymbeline,"Shakespeare, William",,false,1734,openlibrary,https://openlibrary.org/works/OL258656W,en,pd_basis=pub_year<=1930
king-richard-ii__shakespeare-william__1597,King Richard II,"Shakespeare, William",,false,1597,openlibrary,https://openlibrary.org/works/OL362665W,en,pd_basis=pub_year<=1930
my-antonia__cather-willa__1818,My Ántonia,"Cather, Willa",,false,1818,openlibrary,https://openlibrary.org/works/OL12791W,en,pd_basis=pub_year<=1930
the-old-curiosity-shop__dickens-charles__1800,The Old Curiosity Shop,"Dickens, Charles",,false,1800,openlibrary,https://openlibrary.org/works/OL14869167W,en,pd_basis=pub_year<=1930
annes-house-of-dreams__montgomery-lucy-maud__1917,Anne's House of Dreams,"Montgomery, Lucy Maud",,false,1917,openlibrary,https://openlibrary.org/works/OL77764W,en,pd_basis=pub_year<=1930
alls-well-that-ends-well__shakespeare-william__1734,All's Well That Ends Well,"Shakespeare, William",,false,1734,openlibrary,https://openlibrary.org/works/OL362676W,en,pd_basis=pub_year<=1930
the-merchant-of-venice__shakespeare-william__1600,The Merchant of Venice,"Shakespeare, William",,false,1600,openlibrary,https://openlibrary.org/works/OL258758W,en,pd_basis=pub_year<=1930
anne-of-avonlea__montgomery-lucy-maud__1909,Anne of Avonlea,"Montgomery, Lucy Maud",,false,1909,openlibrary,https://openlibrary.org/works/OL77744W,en,pd_basis=pub_year<=1930
othello__shakespeare-william__1622,Othello,"Shakespeare, William",,false,1622,openlibrary,https://openlibrary.org/works/OL258850W,en,pd_basis=pub_year<=1930
the-tempest__shakespeare-william__1611,The Tempest,"Shakespeare, William",,false,1611,openlibrary,https://openlibrary.org/works/OL362699W,en,pd_basis=pub_year<=1930
the-secret-adversary__christie-agatha__1922,The Secret Adversary,"Christie, Agatha",,false,1922,openlibrary,https://openlibrary.org/works/OL471789W,en,pd_basis=pub_year<=1930
a-connecticut-yankee-in-king-arthurs-court__twain-mark__1889,A Connecticut Yankee in King Arthur's Court,"Twain, Mark",,false,1889,openlibrary,https://openlibrary.org/works/OL54031W,en,pd_basis=pub_year<=1930
der-proce__kafka-franz__1825,Der Proceß,"Kafka, Franz",,false,1825,openlibrary,https://openlibrary.org/works/OL498463W,en,pd_basis=pub_year<=1930
henry-iv-part-1__shakespeare-william__1598,"Henry IV, Part 1","Shakespeare, William",,false,1598,openlibrary,https://openlibrary.org/works/OL1348798W,en,pd_basis=pub_year<=1930
anne-of-the-island__montgomery-lucy-maud__1915,Anne of the Island,"Montgomery, Lucy Maud",,false,1915,openlibrary,https://openlibrary.org/works/OL77748W,en,pd_basis=pub_year<=1930
two-gentlemen-of-verona__shakespeare-william__1632,Two Gentlemen of Verona,"Shakespeare, William",,false,1632,openlibrary,https://openlibrary.org/works/OL362671W,en,pd_basis=pub_year<=1930
coriolanus__shakespeare-william__1734,Coriolanus,"Shakespeare, William",,false,1734,openlibrary,https://openlibrary.org/works/OL362166W,en,pd_basis=pub_year<=1930
the-cricket-on-the-hearth__dickens-charles__1846,The Cricket on the Hearth,"Dickens, Charles",,false,1846,openlibrary,https://openlibrary.org/works/OL14868783W,en,pd_basis=pub_year<=1930
a-portrait-of-the-artist-as-a-young-man__joyce-james__1818,A Portrait of the Artist as a Young Man,"Joyce, James",,false,1818,openlibrary,https://openlibrary.org/works/OL86343W,en,pd_basis=pub_year<=1930
the-mill-on-the-floss__eliot-george__1800,The Mill on the Floss,"Eliot, George",,false,1800,openlibrary,https://openlibrary.org/works/OL20938W,en,pd_basis=pub_year<=1930
richard-iii__shakespeare-william__1597,Richard III,"Shakespeare, William",,false,1597,openlibrary,https://openlibrary.org/works/OL362684W,en,pd_basis=pub_year<=1930
the-valley-of-fear__doyle-arthur-conan__1914,The Valley of Fear,"Doyle, Arthur Conan",,false,1914,openlibrary,https://openlibrary.org/works/OL262505W,en,pd_basis=pub_year<=1930
a-room-with-a-view__forster-e-m__1905,A Room with a View,"Forster, E. M.",,false,1905,openlibrary,https://openlibrary.org/works/OL88813W,en,pd_basis=pub_year<=1930
the-prince-and-the-pauper__twain-mark__1881,The Prince and the Pauper,"Twain, Mark",,false,1881,openlibrary,https://openlibrary.org/works/OL53994W,en,pd_basis=pub_year<=1930
leaves-of-grass__whitman-walt__1855,Leaves of Grass,"Whitman, Walt",,false,1855,openlibrary,https://openlibrary.org/works/OL16333W,en,pd_basis=pub_year<=1930
the-blue-fairy-book__lang-andrew__1889,The Blue Fairy Book,"Lang, Andrew",,false,1889,openlibrary,https://openlibrary.org/works/OL1088770W,en,pd_basis=pub_year<=1930
the-princess-and-the-goblin__macdonald-george__1872,The Princess and the Goblin,"MacDonald, George",,false,1872,openlibrary,https://openlibrary.org/works/OL15449W,en,pd_basis=pub_year<=1930
tess-of-the-durbervilles__hardy-thomas__1707,Tess of the d'Urbervilles,"Hardy, Thomas",,false,1707,openlibrary,https://openlibrary.org/works/OL44927W,en,pd_basis=pub_year<=1930
the-lost-world__doyle-arthur-conan__1900,The Lost World,"Doyle, Arthur Conan",,false,1900,openlibrary,https://openlibrary.org/works/OL262460W,en,pd_basis=pub_year<=1930
hrabe-monte-cristo-dil-1-a-2-trisvazkove-vydani__dumas-alexandre__1830,Hrabě Monte Cristo. Díl 1 a 2 (třísvazkové vydání),"Dumas, Alexandre",,false,1830,openlibrary,https://openlibrary.org/works/OL36287W,en,pd_basis=pub_year<=1930
the-marvelous-land-of-oz__baum-l-frank__1904,The Marvelous Land of Oz,"Baum, L. Frank",,false,1904,openlibrary,https://openlibrary.org/works/OL18396W,en,pd_basis=pub_year<=1930
robin-hood__pyle-howard__1883,Robin Hood,"Pyle, Howard",,false,1883,openlibrary,https://openlibrary.org/works/OL2021953W,en,pd_basis=pub_year<=1930
the-yellow-wallpaper__gilman-charlotte-perkins__1892,The Yellow Wallpaper,"Gilman, Charlotte Perkins",,false,1892,openlibrary,https://openlibrary.org/works/OL2772007W,en,pd_basis=pub_year<=1930
aeneis__maro-publius-vergilius__1592,Aeneis,"Maro, Publius Vergilius",,false,1592,openlibrary,https://openlibrary.org/works/OL47087W,en,pd_basis=pub_year<=1930
king-henry-viii__shakespeare-william__1670,King Henry VIII,"Shakespeare, William",,false,1670,openlibrary,https://openlibrary.org/works/OL361246W,en,pd_basis=pub_year<=1930
the-comedy-of-errors__shakespeare-william__1734,The Comedy of Errors,"Shakespeare, William",,false,1734,openlibrary,https://openlibrary.org/works/OL362679W,en,pd_basis=pub_year<=1930
riders-of-the-purple-sage__grey-zane__1912,Riders of the Purple Sage,"Grey, Zane",,false,1912,openlibrary,https://openlibrary.org/works/OL485504W,en,pd_basis=pub_year<=1930
ozma-of-oz__baum-l-frank__1907,Ozma of Oz,"Baum, L. Frank",,false,1907,openlibrary,https://openlibrary.org/works/OL18415W,en,pd_basis=pub_year<=1930
decamerone__boccaccio-giovanni__1516,Decamerone,"Boccaccio, Giovanni",,false,1516,openlibrary,https://openlibrary.org/works/OL7180368W,en,pd_basis=pub_year<=1930
the-house-of-mirth__wharton-edith__1905,The House of Mirth,"Wharton, Edith",,false,1905,openlibrary,https://openlibrary.org/works/OL98587W,en,pd_basis=pub_year<=1930
uncle-toms-cabin__stowe-harriet-beecher__1850,Uncle Tom's Cabin,"Stowe, Harriet Beecher",,false,1850,openlibrary,https://openlibrary.org/works/OL152161W,en,pd_basis=pub_year<=1930
twelfth-night-or-what-you-will__shakespeare-william__1734,"Twelfth Night, or What You Will","Shakespeare, William",,false,1734,openlibrary,https://openlibrary.org/works/OL362694W,en,pd_basis=pub_year<=1930
the-pilgrims-progress__bunyan-john__1678,The Pilgrim's Progress,"Bunyan, John",,false,1678,openlibrary,https://openlibrary.org/works/OL107195W,en,pd_basis=pub_year<=1930
the-autobiography-of-benjamin-franklin__franklin-benjamin__1791,The Autobiography of Benjamin Franklin,"Franklin, Benjamin",,false,1791,openlibrary,https://openlibrary.org/works/OL26492W,en,pd_basis=pub_year<=1930
the-mayor-of-casterbridge__hardy-thomas__1800,The Mayor of Casterbridge,"Hardy, Thomas",,false,1800,openlibrary,https://openlibrary.org/works/OL8193406W,en,pd_basis=pub_year<=1930
the-jungle__sinclair-upton__1791,The Jungle,"Sinclair, Upton",,false,1791,openlibrary,https://openlibrary.org/works/OL114967W,en,pd_basis=pub_year<=1930
rainbow-valley__montgomery-lucy-maud__1919,Rainbow Valley,"Montgomery, Lucy Maud",,false,1919,openlibrary,https://openlibrary.org/works/OL77756W,en,pd_basis=pub_year<=1930
as-a-man-thinketh__allen-james__1902,As a man thinketh,"Allen, James",,false,1902,openlibrary,https://openlibrary.org/works/OL43024W,en,pd_basis=pub_year<=1930
the-story-of-the-treasure-seekers__nesbit-edith__1899,The Story of the Treasure Seekers,"Nesbit, Edith",,false,1899,openlibrary,https://openlibrary.org/works/OL99522W,en,pd_basis=pub_year<=1930
the-jewel-of-seven-stars__stoker-bram__1902,The Jewel of Seven Stars,"Stoker, Bram",,false,1902,openlibrary,https://openlibrary.org/works/OL85891W,en,pd_basis=pub_year<=1930
the-woman-in-white__collins-wilkie__1859,The Woman in White,"Collins, Wilkie",,false,1859,openlibrary,https://openlibrary.org/works/OL176045W,en,pd_basis=pub_year<=1930
the-battle-of-life__dickens-charles__1846,The Battle of Life,"Dickens, Charles",,false,1846,openlibrary,https://openlibrary.org/works/OL14868497W,en,pd_basis=pub_year<=1930
sonnets__shakespeare-william__1609,Sonnets,"Shakespeare, William",,false,1609,openlibrary,https://openlibrary.org/works/OL362706W,en,pd_basis=pub_year<=1930
the-man-who-knew-too-much__chesterton-gilbert-keith__1922,The Man Who Knew Too Much,"Chesterton, Gilbert Keith",,false,1922,openlibrary,https://openlibrary.org/works/OL76468W,en,pd_basis=pub_year<=1930
meditations__aurelius-marcus__1626,Meditations,"Aurelius, Marcus",,false,1626,openlibrary,https://openlibrary.org/works/OL1317211W,en,pd_basis=pub_year<=1930
the-red-badge-of-courage__crane-stephen__1871,The Red Badge of Courage,"Crane, Stephen",,false,1871,openlibrary,https://openlibrary.org/works/OL25649539W,en,pd_basis=pub_year<=1930;multi_year_dedup_review
rilla-of-ingleside__montgomery-lucy-maud__1920,Rilla of Ingleside,"Montgomery, Lucy Maud",,false,1920,openlibrary,https://openlibrary.org/works/OL77757W,en,pd_basis=pub_year<=1930
du-cote-de-chez-swann__proust-marcel__1908,Du côté de chez Swann,"Proust, Marcel",,false,1908,openlibrary,https://openlibrary.org/works/OL30053009W,en,pd_basis=pub_year<=1930
the-emerald-city-of-oz__baum-l-frank__1910,The Emerald City of Oz,"Baum, L. Frank",,false,1910,openlibrary,https://openlibrary.org/works/OL18409W,en,pd_basis=pub_year<=1930
faust__goethe-johann-wolfgang-von__1800,Faust,"Goethe, Johann Wolfgang von",,false,1800,openlibrary,https://openlibrary.org/works/OL52456W,en,pd_basis=pub_year<=1930
henry-v__shakespeare-william__1600,Henry V,"Shakespeare, William",,false,1600,openlibrary,https://openlibrary.org/works/OL361466W,en,pd_basis=pub_year<=1930
this-side-of-paradise__fitzgerald-f-scott__1920,This Side of Paradise,"Fitzgerald, F. Scott",,false,1920,openlibrary,https://openlibrary.org/works/OL468488W,en,pd_basis=pub_year<=1930
silas-marner__eliot-george__1800,Silas Marner,"Eliot, George",,false,1800,openlibrary,https://openlibrary.org/works/OL20874W,en,pd_basis=pub_year<=1930
the-prisoner-of-zenda__hope-anthony__1800,The Prisoner of Zenda,"Hope, Anthony",,false,1800,openlibrary,https://openlibrary.org/works/OL245401W,en,pd_basis=pub_year<=1930
herland__gilman-charlotte-perkins__1915,Herland,"Gilman, Charlotte Perkins",,false,1915,openlibrary,https://openlibrary.org/works/OL2771987W,en,pd_basis=pub_year<=1930
dorothy-and-the-wizard-in-oz__baum-l-frank__1908,Dorothy and the Wizard in Oz,"Baum, L. Frank",,false,1908,openlibrary,https://openlibrary.org/works/OL18412W,en,pd_basis=pub_year<=1930
agnes-grey__bronte-anne__1847,Agnes Grey,"Brontë, Anne",,false,1847,openlibrary,https://openlibrary.org/works/OL2462427W,en,pd_basis=pub_year<=1930
o-pioneers__cather-willa__1913,O Pioneers!,"Cather, Willa",,false,1913,openlibrary,https://openlibrary.org/works/OL12795W,en,pd_basis=pub_year<=1930
ulysses__joyce-james__1914,Ulysses,"Joyce, James",,false,1914,openlibrary,https://openlibrary.org/works/OL86318W,en,pd_basis=pub_year<=1930
the-second-jungle-book__kipling-rudyard__1887,The Second Jungle Book,"Kipling, Rudyard",,false,1887,openlibrary,https://openlibrary.org/works/OL19926W,en,pd_basis=pub_year<=1930
lady-susan__austen-jane__1925,Lady Susan,"Austen, Jane",,false,1925,openlibrary,https://openlibrary.org/works/OL66614W,en,pd_basis=pub_year<=1930
the-mystery-of-edwin-drood__dickens-charles__1870,The mystery of Edwin Drood,"Dickens, Charles",,false,1870,openlibrary,https://openlibrary.org/works/OL8763148W,en,pd_basis=pub_year<=1930
